,uri,type,title,dates
188,/agents/Q46aPhuy6svFySKtLFefJS,agent,Doris Manville,
189,/agents/UgTtNmaLhc7KtheadBoA5F,agent,Michele Lamont,
190,/agents/BfV7qMrVUfirzL8o7Gcesn,agent,Philip Moss,
191,/agents/6PKRZjifF9NyL5QZ8webFw,agent,Herbert Ginsburg,
192,/agents/f8ZFogjmHV5oTaXznz6RRS,agent,Raymond H. Wilkens,
193,/agents/BEK3hJ3UmgrbBMtzxDnoG7,agent,Roswell B. Perkins,
194,/agents/P9BdGW2GavtbHN6P83TU2X,agent,Max Planck,"[{'expression': '1858-1947', 'begin': '1858', 'end': '1947', 'label': 'existence', 'type': 'range'}]"
195,/agents/6ruvSozPSDTZHRtqVkBMjj,agent,Nobuko Inuma,
196,/agents/ez3hPTSnffLSGvur7f6BkJ,agent,Eugene Sunderlin,
197,/agents/HAx3GQSLE5SK3g3enGLTB3,agent,Stuart Burden,
198,/agents/dsLRypcAGHpfTsa5BcVNSu,agent,Wilbur A. (Wilbur Augustus) Sawyer,"[{'expression': '1879-1951', 'begin': '1879', 'end': '1951', 'label': 'existence', 'type': 'range'}]"
199,/agents/eQK49Y9gFPJDtxtwPK78qW,agent,Karen Morrell,
200,/agents/gR8q8phgbdBv5LKqhrvTd5,agent,Peter K. Olitsky,
201,/agents/gz75MULbyDnMoZkQSgctVb,agent,Eugene Lindsay Opie,
202,/agents/NR8oLc6jwQNU3bbveDfSA9,agent,Peyton Rous,"[{'expression': '1879-1970', 'begin': '1879', 'end': '1970', 'label': 'existence', 'type': 'range'}]"
203,/agents/bbeFgnbGEVgVPwxJjeZ7Jv,agent,Richard E. (Richard Edwin) Shope,"[{'expression': '1901-', 'begin': '1901', 'end': '1901', 'label': 'existence', 'type': 'single'}]"
204,/agents/3rKpR2H68GLtYxjfqwY4Hv,agent,Philip D. McMaster,"[{'expression': '1891-1973', 'begin': '1891', 'end': '1973', 'label': 'existence', 'type': 'range'}]"
205,/agents/WUNL6z3axgcm58iKQT7B4p,agent,Henry O. Kunkel,
206,/agents/DSADVfzuMPcWLmGo7rkUV5,agent,"Walter A. (Walter Abraham), 1883-1967 Jacobs",
207,/agents/itQRewvWdkWTps2rEu56VA,agent,Theodore Shedlovsky,"[{'expression': '1898-1976', 'begin': '1898', 'end': '1976', 'label': 'existence', 'type': 'range'}]"
208,/agents/JqzfJG836DqwDMZ2HcLUYu,agent,Lyman Creighton Craig,
209,/agents/jh8dkHxsAWg9egXgpPGr69,agent,Jacques J. (Jacques Jacob) Bronfenbrenner,"[{'expression': '1883-1953', 'begin': '1883', 'end': '1953', 'label': 'existence', 'type': 'range'}]"
210,/agents/2Uy3UxHz7dfGxTK6vRZiC2,agent,F. H. (Frank Henry) Field,"[{'expression': '1922-', 'begin': '1922', 'end': '1922', 'label': 'existence', 'type': 'single'}]"
211,/agents/BUAjYvEn2QwtJhpuogKqHq,agent,P. A. T. (Phoebus Aaron) Levene,"[{'expression': '1869-1940', 'begin': '1869', 'end': '1940', 'label': 'existence', 'type': 'range'}]"
212,/agents/csNVMGKMVXCfnsBPDkCvej,agent,Lewis G. Longsworth,
213,/agents/gEyeKEeDJef7gaCVVdhSpV,agent,Duncan A. (Duncan Arthur) MacInnes,"[{'expression': '1885-1965', 'begin': '1885', 'end': '1965', 'label': 'existence', 'type': 'range'}]"
214,/agents/b2rJ7SWGHE6ZJvQRrpaJcm,agent,Gertrude Erika Perlmann,"[{'expression': '1912-', 'begin': '1912', 'end': '1912', 'label': 'existence', 'type': 'single'}]"
215,/agents/4m9y94S6ABGWDHXBHqdb9w,agent,Alexandre Rothen,"[{'expression': '1900-1987', 'begin': '1900', 'end': '1987', 'label': 'existence', 'type': 'range'}]"
